,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.OD,TrialType.SHOW,1,0,R0,True,L0,3,2,5,L
1,PhaseType.OD,TrialType.ITI,1,0,R0,False,L0,5,2,7,
2,PhaseType.OD,TrialType.SHOW,1,1,L0,True,R0,7,2,9,L
3,PhaseType.OD,TrialType.ITI,1,1,L0,False,R0,9,1,10,
4,PhaseType.OD,TrialType.SHOW,1,2,R0,False,L0,10,2,12,R
5,PhaseType.OD,TrialType.ITI,1,2,R0,False,L0,12,1,13,
6,PhaseType.OD,TrialType.SHOW,1,3,L0,False,R0,13,2,15,L
7,PhaseType.OD,TrialType.ITI,1,3,L0,False,R0,15,1,16,
8,PhaseType.OD,TrialType.SHOW,1,4,R1,True,L0,16,2,18,L
9,PhaseType.OD,TrialType.ITI,1,4,R1,False,L0,18,2,20,
10,PhaseType.OD,TrialType.SHOW,1,5,L0,True,R1,20,2,22,L
11,PhaseType.OD,TrialType.ITI,1,5,L0,False,R1,22,1,23,
12,PhaseType.OD,TrialType.SHOW,1,6,R1,False,L0,23,2,25,R
13,PhaseType.OD,TrialType.ITI,1,6,R1,False,L0,25,5,30,
14,PhaseType.OD,TrialType.SHOW,1,7,L0,False,R1,30,2,32,L
15,PhaseType.OD,TrialType.ITI,1,7,L0,False,R1,32,1,33,
16,PhaseType.OD,TrialType.SHOW,1,8,R0,True,L1,33,2,35,L
17,PhaseType.OD,TrialType.ITI,1,8,R0,False,L1,35,5,40,
18,PhaseType.OD,TrialType.SHOW,1,9,L1,True,R0,40,2,42,L
19,PhaseType.OD,TrialType.ITI,1,9,L1,False,R0,42,2,44,
20,PhaseType.OD,TrialType.SHOW,1,10,R0,False,L1,44,2,46,R
21,PhaseType.OD,TrialType.ITI,1,10,R0,False,L1,46,2,48,
22,PhaseType.OD,TrialType.SHOW,1,11,L1,False,R0,48,2,50,L
23,PhaseType.OD,TrialType.ITI,1,11,L1,False,R0,50,1,51,
24,PhaseType.OD,TrialType.SHOW,1,12,R1,True,L1,51,2,53,L
25,PhaseType.OD,TrialType.ITI,1,12,R1,False,L1,53,2,55,
26,PhaseType.OD,TrialType.SHOW,1,13,L1,True,R1,55,2,57,L
27,PhaseType.OD,TrialType.ITI,1,13,L1,False,R1,57,2,59,
28,PhaseType.OD,TrialType.SHOW,1,14,R1,False,L1,59,2,61,R
29,PhaseType.OD,TrialType.ITI,1,14,R1,False,L1,61,1,62,
30,PhaseType.OD,TrialType.SHOW,1,15,L1,False,R1,62,2,64,L
31,PhaseType.OD,TrialType.ITI,1,15,L1,False,R1,64,1,65,
32,PhaseType.OD,TrialType.SCORE,1,-1,,False,,65,2,67,
